"","id","vun.name","rname","un.name","variable","era","long","lat","order","hole","piece","M"
"1","Antigua and Barbuda","Antigua and Barbuda","North America","ATG","Tech.Eff",2010,-5512041.3874797,2004109.79467768,22,FALSE,"2",0.824241776193612
"2","Antigua and Barbuda","Antigua and Barbuda","North America","ATG","Alloc.Eff",2010,-5512041.3874797,2004109.79467768,22,FALSE,"2",0.820068417744784
"3","Antigua and Barbuda","Antigua and Barbuda","North America","ATG","Rev.Eff",2010,-5512041.3874797,2004109.79467768,22,FALSE,"2",0.802689602771547
"4","Benin","Benin","Africa","BEN","Tech.Eff",2010,244601.007166224,696760.284278927,25,FALSE,"1",0.732532894823433
"5","Benin","Benin","Africa","BEN","Alloc.Eff",2010,244601.007166224,696760.284278927,25,FALSE,"1",0.704902212725826
"6","Benin","Benin","Africa","BEN","Rev.Eff",2010,244601.007166224,696760.284278927,25,FALSE,"1",0.545011884525149
"7","Belize","Belize","North America","BLZ","Tech.Eff",2010,-7945779.07274923,2086767.80638842,20,FALSE,"1",0.636936469237504
"8","Belize","Belize","North America","BLZ","Alloc.Eff",2010,-7945779.07274923,2086767.80638842,20,FALSE,"1",0.789731925761785
"9","Belize","Belize","North America","BLZ","Rev.Eff",2010,-7945779.07274923,2086767.80638842,20,FALSE,"1",0.541414680252024
"10","Comoros","Comoros","Africa","COM","Tech.Eff",2010,3950540.86691562,-1386752.41155908,35,FALSE,"3",0.801314031397968
"11","Comoros","Comoros","Africa","COM","Alloc.Eff",2010,3950540.86691562,-1386752.41155908,35,FALSE,"3",0.69213149603109
"12","Comoros","Comoros","Africa","COM","Rev.Eff",2010,3950540.86691562,-1386752.41155908,35,FALSE,"3",0.611657625016397
"13","Dominican Republic","Dominican Republic","North America","DOM","Tech.Eff",2010,-6365288.7410282,2267044.32228569,26,FALSE,"1",0.932473699778471
"14","Dominican Republic","Dominican Republic","North America","DOM","Alloc.Eff",2010,-6365288.7410282,2267044.32228569,26,FALSE,"1",0.88932830632746
"15","Dominican Republic","Dominican Republic","North America","DOM","Rev.Eff",2010,-6365288.7410282,2267044.32228569,26,FALSE,"1",0.828952334377811
"16","Fiji","Fiji","Oceania","FJI","Tech.Eff",2010,-15977071.3874534,-2340748.54084405,22,FALSE,"3",0.796204486570312
"17","Fiji","Fiji","Oceania","FJI","Alloc.Eff",2010,-15977071.3874534,-2340748.54084405,22,FALSE,"3",0.908969101049317
"18","Fiji","Fiji","Oceania","FJI","Rev.Eff",2010,-15977071.3874534,-2340748.54084405,22,FALSE,"3",0.802691738563848
"19","Federated States of Micronesia","Federated States of Micronesia","Oceania","FSM","Tech.Eff",2010,13773341.7476048,977891.452848571,49,FALSE,"5",0.99582672050996
"20","Federated States of Micronesia","Federated States of Micronesia","Oceania","FSM","Alloc.Eff",2010,13773341.7476048,977891.452848571,49,FALSE,"5",0.796409790309632
"21","Federated States of Micronesia","Federated States of Micronesia","Oceania","FSM","Rev.Eff",2010,13773341.7476048,977891.452848571,49,FALSE,"5",0.793976271069162
"22","Grenada","Grenada","North America","GRD","Tech.Eff",2010,-5569409.87719954,1370276.29946822,9,FALSE,"1",0.766260749984725
"23","Grenada","Grenada","North America","GRD","Alloc.Eff",2010,-5569409.87719954,1370276.29946822,9,FALSE,"1",0.927868844149514
