year,rname,variable,sector,M,SD
1950,Africa,Alloc.Eff,A,0.961732044,0.121013902
1950,Africa,Alloc.Eff,I,0.982886651,0.056758557
1950,Africa,Rev.Eff,A,0.851724353,0.263902783
1950,Africa,Rev.Eff,I,0.793226087,0.355743495
1950,Africa,Tech.Eff,A,0.815678548,0.221436461
1950,Africa,Tech.Eff,I,0.649177655,0.265597872
1950,Asia,Alloc.Eff,A,0.911846149,0.184721712
1950,Asia,Alloc.Eff,I,0.956254954,0.112879083
1950,Asia,Rev.Eff,A,0.850542995,0.272735499
1950,Asia,Rev.Eff,I,0.749164732,0.344547112
1950,Asia,Tech.Eff,A,0.844644954,0.176718844
1950,Asia,Tech.Eff,I,0.723066059,0.321042294
1950,Europe,Alloc.Eff,A,0.886785576,0.253155148
1950,Europe,Alloc.Eff,I,0.974383558,0.067378015
1950,Europe,Rev.Eff,A,0.88646712,0.253867237
1950,Europe,Rev.Eff,I,0.898640217,0.222611701
1950,Europe,Tech.Eff,A,0.897942343,0.076068368
1950,Europe,Tech.Eff,I,0.850906942,0.18338503
1950,North America,Alloc.Eff,A,0.862259579,0.305207548
1950,North America,Alloc.Eff,I,0.909397177,0.176123119
1950,North America,Rev.Eff,A,0.681352577,0.376052685
1950,North America,Rev.Eff,I,0.533982344,0.442942437
1950,North America,Tech.Eff,A,0.69048206,0.266034356
1950,North America,Tech.Eff,I,0.512218825,0.4103542
1950,Oceania,Alloc.Eff,A,1,0
1950,Oceania,Alloc.Eff,I,0.870068985,0.310858694
1950,Oceania,Rev.Eff,A,1,0
1950,Oceania,Rev.Eff,I,0.291576874,0.383777142
1950,Oceania,Tech.Eff,A,0.746592356,0.18699634
1950,Oceania,Tech.Eff,I,0.325861335,0.353274661
1950,South America,Alloc.Eff,A,1,0
1950,South America,Alloc.Eff,I,0.922603163,0.173064589
1950,South America,Rev.Eff,A,0.776659133,0.446681733
1950,South America,Rev.Eff,I,0.855437765,0.323250985
1950,South America,Tech.Eff,A,0.627017184,0.368332904
1950,South America,Tech.Eff,I,0.759157878,0.179815869
1951,Africa,Alloc.Eff,A,0.98487646,0.041589338
1951,Africa,Alloc.Eff,I,0.972748306,0.05729865
1951,Africa,Rev.Eff,A,0.846988941,0.226569602
1951,Africa,Rev.Eff,I,0.633807483,0.301013489
1951,Africa,Tech.Eff,A,0.768163006,0.195459258
1951,Africa,Tech.Eff,I,0.600024418,0.263139589
1951,Asia,Alloc.Eff,A,0.920398673,0.159382415
1951,Asia,Alloc.Eff,I,0.967667243,0.069371146
1951,Asia,Rev.Eff,A,0.784493069,0.2820355
1951,Asia,Rev.Eff,I,0.772423606,0.302303431
1951,Asia,Tech.Eff,A,0.78876217,0.232267512
1951,Asia,Tech.Eff,I,0.760957105,0.293844097
1951,Europe,Alloc.Eff,A,0.912583445,0.092639141
1951,Europe,Alloc.Eff,I,0.947013936,0.101985437
1951,Europe,Rev.Eff,A,0.848657325,0.098590164
1951,Europe,Rev.Eff,I,0.824003559,0.207366465
1951,Europe,Tech.Eff,A,0.906066433,0.065684778
1951,Europe,Tech.Eff,I,0.837221956,0.190169977
1951,North America,Alloc.Eff,A,0.882957284,0.281490966
1951,North America,Alloc.Eff,I,0.91231449,0.172854253
1951,North America,Rev.Eff,A,0.651003541,0.3357488
1951,North America,Rev.Eff,I,0.520348274,0.429337759
1951,North America,Tech.Eff,A,0.678378861,0.259973609
1951,North America,Tech.Eff,I,0.501301741,0.39698782
1951,Oceania,Alloc.Eff,A,1,0
1951,Oceania,Alloc.Eff,I,0.86761876,0.317436816
1951,Oceania,Rev.Eff,A,0.884814125,0.310175155
1951,Oceania,Rev.Eff,I,0.290380074,0.384577139
