era,un.name,rname,rank,gdpmean,score,Tech.Eff,Alloc.Eff,gdpIndex
1960,AGO,Africa,36,NA,0.528329802,0.703451027,0.792780793,NA
1960,ALB,Europe,123,NA,0.261815531,0.719266975,1,NA
1960,ARE,Asia,67,NA,0.448962558,0.929712502,1,NA
1960,ARG,South America,139,1152.085807,0.167003997,0.915107229,0.721044514,7.049329324
1960,ATG,North America,52,NA,0.493384448,0.834466191,0.950570599,NA
1960,AUS,Oceania,133,2252.248273,0.220030046,0.937242237,0.734586379,7.719684229
1960,BEL,Europe,135,1785.958275,0.214749952,0.930479776,0.947152786,7.487710399
1960,BEN,Africa,12,105.5203473,0.688742195,0.608122529,0.944968095,4.6589038
1960,BGR,Europe,127,NA,0.252121525,0.650857613,0.90577278,NA
1960,BHR,Asia,56,NA,0.483456871,0.535540423,1,NA
1960,BHS,North America,62,2186.122992,0.464906157,0.822354059,0.836524685,7.689884931
1960,BLZ,North America,21,362.4281877,0.607443847,0.594669634,0.964623501,5.892826352
1960,BRA,South America,80,292.87344,0.412039257,0.839771237,0.941151414,5.67974057
1960,BRB,North America,86,NA,0.39549722,0.989317874,0.517766698,NA
1960,BRN,Asia,101,1250.713248,0.344607474,0.6169532,0.992568045,7.131469266
1960,CAN,North America,54,2770.386849,0.490642638,0.863643318,0.575828436,7.926742246
1960,CHL,South America,146,714.0330609,0.118632105,0.87572997,0.468316205,6.570929265
1960,CHN,Asia,8,88.70514872,0.765473303,0.957139381,0.970033977,4.485317934
1960,CHN,Asia,69,88.70514872,0.444714953,0.957139381,0.970033977,4.485317934
1960,CHN,Asia,109,88.70514872,0.306846496,0.957139381,0.970033977,4.485317934
1960,CIV,Africa,22,211.0164553,0.604657435,0.866805378,0.907565445,5.351936118
1960,CMR,Africa,17,143.3147895,0.629894742,0.682991224,0.963994812,4.965043536
1960,COD,Africa,75,233.7279188,0.426384127,0.136614611,0.741770754,5.454157699
1960,COG,Africa,70,167.0151139,0.444645336,0.784771993,0.873748166,5.11808431
1960,COL,South America,112,283.2983989,0.295724865,0.827310812,0.95775192,5.646500755
1960,COM,Africa,14,NA,0.674417081,0.686004188,1,NA
1960,CPV,Africa,61,NA,0.466089281,0.525437476,1,NA
1960,CRI,North America,103,386.5459799,0.328211161,0.47426764,0.910666396,5.957250826
1960,CUB,North America,78,NA,0.413576655,0.910821187,0.451170025,NA
1960,CYP,Europe,90,NA,0.377404848,0.791261061,0.795395573,NA
1960,DEU,Europe,128,NA,0.242783003,0.893709517,0.988967293,NA
1960,DNK,Europe,134,2145.052472,0.216633221,0.888711861,0.832765887,7.670919294
1960,DOM,North America,58,242.2452358,0.478365168,0.83350155,0.939414395,5.489950584
1960,DZA,Africa,91,240.7896725,0.372478186,0.806184917,0.875816925,5.483923824
1960,ECU,South America,85,429.4992094,0.396644315,0.886937111,0.575362461,6.062619901
1960,EGY,Africa,102,173.4991477,0.344532488,0.636097605,0.716401409,5.156172687
1960,ERI,Africa,53,NA,0.491403911,0.778656874,0.883713379,NA
1960,ESP,Europe,136,731.2333401,0.206117683,0.740724664,0.79439694,6.594732615
1960,FIN,Europe,126,1715.99077,0.255118645,0.812506287,0.920890098,7.447745901
1960,FJI,Oceania,27,313.0725907,0.589598212,0.342553838,1,5.746435083
1960,FRA,Europe,100,1987.280894,0.345555062,0.984307612,0.902643821,7.594522598
1960,FSM,Oceania,2,NA,0.909266359,0.867383583,1,NA
1960,GAB,Africa,64,412.4861017,0.454549991,0.936,0.99240714,6.022202512
1960,GBR,Europe,145,1743.146078,0.12728723,0.935029381,0.967188857,7.46344685
1960,GHA,Africa,16,219.8245258,0.635472868,0.399730125,0.760877881,5.392829618
1960,GIN,Africa,40,NA,0.521582999,0.340171775,0.94185254,NA
1960,GMB,Africa,32,105.2128585,0.55890093,0.494154574,1,4.655985522
1960,GNB,Africa,24,NA,0.602297241,0.651819133,1,NA
1960,GNQ,Africa,81,161.0325294,0.408156022,0.501477016,0.799246772,5.08160639
1960,GRC,Europe,79,858.9426262,0.413243596,0.863635958,0.955609848,6.755702128
1960,GRD,North America,49,NA,0.500578354,0.80087757,0.876900115,NA
1960,GTM,North America,77,275.1257921,0.416361127,0.629762706,0.982783934,5.617228419
1960,GUY,South America,46,325.6869603,0.506518939,0.613120671,1,5.785936676
1960,HND,North America,47,209.086993,0.501765408,0.588339919,0.922884955,5.3427504
1960,HTI,North America,11,77.53639012,0.699963225,0.984768243,0.996179609,4.350747376
1960,IDN,Asia,26,64.37289736,0.594090877,0.960694545,0.991395783,4.164692696
1960,IND,Asia,29,98.99709411,0.582425245,0.927431089,0.923946516,4.595090497
1960,IRL,Europe,147,970.5319872,0.102390556,0.789514301,0.753109905,6.877844362
1960,IRN,Asia,92,249.1783645,0.368042494,0.3803721,0.97584369,5.518168963
1960,ISL,Europe,144,2198.350611,0.151805576,0.616572984,0.686583728,7.695462636
1960,ISR,Asia,121,1430.549058,0.274817835,0.619484541,0.818568437,7.265813606
1960,ITA,Europe,125,1273.656995,0.255898034,0.915522421,0.890544054,7.149647565
1960,JAM,North America,34,539.4758741,0.546889343,0.742714085,1,6.290598065
1960,JOR,Asia,42,459.4711378,0.517966676,0.652393066,1,6.130076128
1960,JPN,Asia,137,955.6653894,0.203742323,0.982034404,0.915899802,6.862407841
1960,KEN,Africa,41,111.3613538,0.518308334,0.811645928,0.95504838,4.712780354
1960,KHM,Asia,114,128.8432486,0.293324132,0.669323898,0.940064803,4.858596539
1960,KIR,Oceania,1,NA,0.999999999,0.32909672,0.820916651,NA
1960,KOR,Asia,129,147.3039346,0.240988697,0.863495908,0.725440956,4.992498035
1960,KWT,Asia,97,4280.968534,0.351118519,0.918301556,0.996721593,8.361934556
1960,LBN,Asia,39,NA,0.526767923,0.757017245,0.861050862,NA
1960,LBR,Africa,66,NA,0.451286962,0.633245258,0.348500281,NA
1960,LBY,Africa,59,NA,0.47780711,0.333893585,0.754796577,NA
1960,LKA,Asia,35,144.0006939,0.528850589,0.838375883,0.868892226,4.969818119
1960,MAR,Africa,83,195.3429557,0.400028173,0.87483255,0.765868422,5.274756761
1960,MDG,Africa,19,146.9585863,0.614579906,0.957383939,0.770265209,4.990150821
1960,MDV,Asia,4,NA,0.867723508,0.56966458,1,NA
1960,MEX,North America,111,476.6091596,0.340467051,0.922981145,0.85269447,6.166696783
1960,MLT,Europe,113,NA,0.295083491,0.892269252,0.708233187,NA
1960,MMR,Asia,68,NA,0.446662532,0.918204626,1,NA
1960,MOZ,Africa,7,NA,0.809247649,0.918540483,0.924595584,NA
1960,MRT,Africa,63,153.6988704,0.456020801,0.469779004,1,5.034995301
1960,MUS,Africa,84,NA,0.398363489,0.392758377,0.957124477,NA
1960,MYS,Asia,106,287.9435674,0.322866129,0.930991353,0.798905395,5.662764514
1960,NAM,Africa,143,NA,0.156395105,0.765352279,1,NA
1960,NGA,Africa,15,107.4397787,0.647307005,0.859673946,0.951939248,4.676930492
1960,NIC,North America,76,220.9813577,0.42159378,0.824506521,0.979893496,5.398078344
1960,NLD,Europe,138,1650.568143,0.176120438,0.96046967,0.927925052,7.408874837
1960,NOR,Europe,116,2091.585611,0.28470084,0.961279117,0.629341828,7.645677723
1960,PAK,Asia,60,113.5536541,0.475455416,0.88904474,0.877934066,4.732275448
1960,PAN,North America,118,640.0852488,0.276858295,0.841771576,0.930641609,6.461601369
1960,PER,South America,107,397.0107537,0.322511633,0.852945055,0.699507708,5.983963368
1960,PHL,Asia,88,208.3006386,0.393650591,0.925667949,0.843552748,5.338982414
1960,PNG,Oceania,93,156.5864217,0.367819471,0.923940249,0.764694198,5.053608073
1960,POL,Europe,131,NA,0.235972868,0.939520982,0.910737095,NA
1960,PRT,Europe,108,530.9955824,0.311161852,0.936127572,0.947113826,6.274753702
1960,QAT,Asia,95,NA,0.364826164,0.591379516,1,NA
1960,RUS,Europe,48,NA,0.501432395,0.93803421,0.835108992,NA
1960,SAU,Asia,82,789.2003427,0.403629959,0.809556429,0.994834462,6.671020208
1960,SDN,Africa,31,140.2990863,0.561655443,0.563,0.998008077,4.943776474
1960,SEN,Africa,23,321.4065128,0.60286265,0.888515834,0.951825206,5.772706717
1960,SGP,Asia,96,557.409271,0.357804744,0.89451688,0.798407483,6.323299748
1960,SLB,Oceania,3,181.8103752,0.901230309,0.900470672,1,5.202964249
1960,SLE,Africa,9,143.7010909,0.752615175,0.629739331,0.75831356,4.967735384
1960,SLV,North America,71,285.9082495,0.439020018,0.504214862,0.720450453,5.655670953
1960,SOM,Africa,38,NA,0.527489935,0.795577291,0.795623183,NA
1960,STP,Africa,13,NA,0.675062392,0.465881146,1,NA
1960,SUR,South America,72,493.1067788,0.431840825,0.323106971,1,6.20072574
1960,SWE,Europe,140,2909.174699,0.16346815,0.869033885,0.925326093,7.975624711
1960,SYC,Africa,28,311.3778754,0.585155228,0.895057513,0.896274102,5.741007208
1960,SYR,Asia,55,256.361007,0.487092341,0.826729069,1,5.546586635
1960,TGO,Africa,51,103.7735779,0.496878553,0.624133218,0.759292933,4.642211391
1960,THA,Asia,73,139.3645224,0.429072042,0.709224707,0.760888235,4.937092963
1960,TON,Oceania,20,NA,0.611863419,0.811953185,1,NA
