"","iyear","rname","mnshn"
"1",1950,"Africa",0.135698589004292
"2",1950,"Asia",0.0945578532308115
"3",1950,"Europe",0.0627441511639227
"4",1950,"North America",0.0786565240581616
"5",1950,"Oceania",0.104479325864672
"6",1950,"South America",0.101627998651839
"7",1951,"Africa",0.133870343689389
"8",1951,"Asia",0.0943130368474182
"9",1951,"Europe",0.0653168653680278
"10",1951,"North America",0.0779920392776326
"11",1951,"Oceania",0.103964773263574
"12",1951,"South America",0.0972666633631817
"13",1952,"Africa",0.133346649538055
"14",1952,"Asia",0.0934481012440697
"15",1952,"Europe",0.0639420262305621
"16",1952,"North America",0.0773686745159221
"17",1952,"Oceania",0.103996483379017
"18",1952,"South America",0.0944616572575375
"19",1953,"Africa",0.135835401642535
"20",1953,"Asia",0.0924740746027816
"21",1953,"Europe",0.0637430826394987
"22",1953,"North America",0.0805880704344483
"23",1953,"Oceania",0.108783697597717
"24",1953,"South America",0.0925097547516506
"25",1954,"Africa",0.136606300212297
"26",1954,"Asia",0.0956645791445353
"27",1954,"Europe",0.0632427106521763
"28",1954,"North America",0.0814213684638281
"29",1954,"Oceania",0.108887173604861
"30",1954,"South America",0.094799935432108
"31",1955,"Africa",0.13737311309614
"32",1955,"Asia",0.0931839138966818
"33",1955,"Europe",0.0643344868820145
"34",1955,"North America",0.0809470030724487
"35",1955,"Oceania",0.114446776854317
"36",1955,"South America",0.0925767228867285
"37",1956,"Africa",0.138651594682781
"38",1956,"Asia",0.0909150267287686
"39",1956,"Europe",0.0637531815871291
"40",1956,"North America",0.0823592895955794
"41",1956,"Oceania",0.109066368809738
"42",1956,"South America",0.0963057166016823
"43",1957,"Africa",0.13502007176839
"44",1957,"Asia",0.0897117978867447
"45",1957,"Europe",0.0651674844498336
"46",1957,"North America",0.0800843583935543
"47",1957,"Oceania",0.113439222785252
"48",1957,"South America",0.0886376083352279
"49",1958,"Africa",0.136633546730505
"50",1958,"Asia",0.0865746631989314
"51",1958,"Europe",0.0624301222031636
"52",1958,"North America",0.082363233328023
"53",1958,"Oceania",0.114336231913904
"54",1958,"South America",0.0849918584320837
"55",1959,"Africa",0.137420037447707
"56",1959,"Asia",0.0858330807716798
"57",1959,"Europe",0.0616180607086695
"58",1959,"North America",0.0802967876060586
"59",1959,"Oceania",0.117002392486696
"60",1959,"South America",0.0784464348333583
"61",1960,"Africa",0.133043168318099
"62",1960,"Asia",0.0849750347457652
"63",1960,"Europe",0.0584697451041159
"64",1960,"North America",0.0826223909041417
"65",1960,"Oceania",0.117901116373417
"66",1960,"South America",0.0706164067761455
"67",1961,"Africa",0.132259785198488
"68",1961,"Asia",0.0843995283017382
"69",1961,"Europe",0.0591568979234051
"70",1961,"North America",0.083306707270689
"71",1961,"Oceania",0.113019184863277
"72",1961,"South America",0.0667556312923093
"73",1962,"Africa",0.127256568682424
"74",1962,"Asia",0.0841665573302903
"75",1962,"Europe",0.0576567519067639
"76",1962,"North America",0.0833594597413451
"77",1962,"Oceania",0.115776921484734
"78",1962,"South America",0.0632047577480236
"79",1963,"Africa",0.128025614930195
"80",1963,"Asia",0.0813738730793815
"81",1963,"Europe",0.0566216646249069
"82",1963,"High Seas",0.346530179418433
"83",1963,"North America",0.082037461355665
"84",1963,"Oceania",0.119510237608826
"85",1963,"South America",0.062686694045943
"86",1964,"Africa",0.115285382926415
"87",1964,"Asia",0.0769024211916099
"88",1964,"Europe",0.0555405562632567
"89",1964,"High Seas",0.324775314051489
"90",1964,"North America",0.0777355095737458
"91",1964,"Oceania",0.119120650736917
"92",1964,"South America",0.0580216317190358
"93",1965,"Africa",0.118122949894801
"94",1965,"Asia",0.0787330655047313
"95",1965,"Europe",0.0533204187276889
"96",1965,"High Seas",0.318565215700807
"97",1965,"North America",0.075908382044435
"98",1965,"Oceania",0.11659125670385
"99",1965,"South America",0.0595698761743762
"100",1966,"Africa",0.116435582371467
"101",1966,"Asia",0.0779835418668217
"102",1966,"Europe",0.0538380611963236
"103",1966,"High Seas",0.288836592661198
"104",1966,"North America",0.0787871744143309
"105",1966,"Oceania",0.113770795720895
"106",1966,"South America",0.0594305267372961
"107",1967,"Africa",0.113676643798586
"108",1967,"Asia",0.0755570431341817
"109",1967,"Europe",0.0516386535290738
"110",1967,"High Seas",0.276754539275067
"111",1967,"North America",0.0781143287604921
"112",1967,"Oceania",0.109210765591679
"113",1967,"South America",0.0579441996079534
"114",1968,"Africa",0.111328814294403
"115",1968,"Asia",0.0750113328485476
"116",1968,"Europe",0.0513619953067588
"117",1968,"High Seas",0.276753661624074
"118",1968,"North America",0.0760682017401667
"119",1968,"Oceania",0.10734807268397
"120",1968,"South America",0.0559806431550351
"121",1969,"Africa",0.111361169504899
"122",1969,"Asia",0.0728341246523676
"123",1969,"Europe",0.0531649979135427
"124",1969,"High Seas",0.27915599522422
"125",1969,"North America",0.0768778735706675
"126",1969,"Oceania",0.111007040962639
"127",1969,"South America",0.0571760166873122
"128",1970,"Africa",0.0971775488246794
"129",1970,"Asia",0.0641703523303276
"130",1970,"Europe",0.052232873470335
"131",1970,"High Seas",0.00129701695529213
"132",1970,"North America",0.071679509325378
"133",1970,"Oceania",0.0844109527867763
"134",1970,"South America",0.0529172491420381
"135",1971,"Africa",0.0948350037803023
"136",1971,"Asia",0.0605675894623283
"137",1971,"Europe",0.0519938845637962
"138",1971,"High Seas",0.00230701879715115
"139",1971,"North America",0.0716003965355259
"140",1971,"Oceania",0.089645661505377
"141",1971,"South America",0.0512639872707584
"142",1972,"Africa",0.0916828949879142
"143",1972,"Asia",0.0610238402979396
"144",1972,"Europe",0.0487818978807958
"145",1972,"High Seas",0.00304816089953644
"146",1972,"North America",0.0702899227350631
"147",1972,"Oceania",0.0903523175970058
"148",1972,"South America",0.051886993699084
"149",1973,"Africa",0.0906869267908829
"150",1973,"Asia",0.0616942977945886
"151",1973,"Europe",0.0459231646111923
"152",1973,"High Seas",0.0145775493301678
"153",1973,"North America",0.0685884367245473
"154",1973,"Oceania",0.0819713528483096
"155",1973,"South America",0.0553276291645301
"156",1974,"Africa",0.0873598733709789
"157",1974,"Asia",0.0599486053045557
"158",1974,"Europe",0.0442293358859556
"159",1974,"High Seas",0.0230086188318197
"160",1974,"North America",0.0724466312427984
"161",1974,"Oceania",0.0856659164913679
"162",1974,"South America",0.0531605806292736
"163",1975,"Africa",0.0877975258456564
"164",1975,"Asia",0.0587569388671983
"165",1975,"Europe",0.0419050475547819
"166",1975,"High Seas",0.0351831760320846
"167",1975,"North America",0.066056591196879
"168",1975,"Oceania",0.0838436141733029
"169",1975,"South America",0.0533746394749182
"170",1976,"Africa",0.0885917457833055
"171",1976,"Asia",0.0595763218896824
"172",1976,"Europe",0.0420037106027719
"173",1976,"High Seas",0.0763123492644115
"174",1976,"North America",0.0657457803477991
"175",1976,"Oceania",0.0815363825482412
"176",1976,"South America",0.0504608106018901
"177",1977,"Africa",0.0891534193615952
"178",1977,"Asia",0.0590604025995476
"179",1977,"Europe",0.0400568674527771
"180",1977,"High Seas",0.0343808951994159
"181",1977,"North America",0.0646427664285153
"182",1977,"Oceania",0.0806033318626027
"183",1977,"South America",0.0516002784505373
"184",1978,"Africa",0.0888231527726623
"185",1978,"Asia",0.0581885609253205
"186",1978,"Europe",0.0391566582631853
"187",1978,"High Seas",0.0448044809075544
"188",1978,"North America",0.0641656363921939
"189",1978,"Oceania",0.0799086184646779
"190",1978,"South America",0.0514952316941117
"191",1979,"Africa",0.085641734637874
"192",1979,"Asia",0.0587444285002202
"193",1979,"Europe",0.0379820075191385
"194",1979,"High Seas",0.109767484809241
"195",1979,"North America",0.062682065987632
"196",1979,"Oceania",0.0830724099110837
"197",1979,"South America",0.0480276823066334
"198",1980,"Africa",0.0843632196296992
"199",1980,"Asia",0.059277153431392
"200",1980,"Europe",0.0384020825885624
"201",1980,"High Seas",0.0714892800039581
"202",1980,"North America",0.0639608842416215
"203",1980,"Oceania",0.0862718279256399
"204",1980,"South America",0.0451672140932297
"205",1981,"Africa",0.0825652366560512
"206",1981,"Asia",0.0581815207842354
"207",1981,"Europe",0.0379628606327827
"208",1981,"High Seas",0.0623971336148484
"209",1981,"North America",0.0655958197936009
"210",1981,"Oceania",0.085741287190168
"211",1981,"South America",0.0487107028388439
"212",1982,"Africa",0.0809857930508238
"213",1982,"Asia",0.0577760798093193
"214",1982,"Europe",0.0373207480274417
"215",1982,"High Seas",0.116186928044622
"216",1982,"North America",0.0625626372799623
"217",1982,"Oceania",0.0902161219049415
"218",1982,"South America",0.0467779329361915
"219",1983,"Africa",0.0775049813285284
"220",1983,"Asia",0.0582526708363304
"221",1983,"Europe",0.0368199568155327
"222",1983,"High Seas",0.114544566909632
"223",1983,"North America",0.0615001292152767
"224",1983,"Oceania",0.0906183208353383
"225",1983,"South America",0.0479606364759161
"226",1984,"Africa",0.0785812262249312
"227",1984,"Asia",0.0580413354423839
"228",1984,"Europe",0.0377940667688519
