Year,CNumber,Country,Tonnes,kwsd, Total_NomEffort_Gear , Total_EffEffort_Gear , Total_Catch_Gear , Total_NomCPUE_Gear , Industrial_NomEffort_Gear , Industrial_EffEffort_Gear , Industrial_Catch_Gear , Industrial_NomCPUE_Gear , Artisal_NomEffort_Gear , Artisal_EffEffort_Gear , Artisal_Catch_Gear , Artisal_NomCPUE_Gear , UP_NomEffort_Gear , UP_EffEffort_Gear , Total_NomEffort_GearSpecies , Total_EffEffort_GearSpecies , Total_Catch_GearSpecies , Total_NomCPUE_GearSpecies , Industrial_NomEffort_GearSpecies , Industrial_EffEffort_GearSpecies , Industrial_Catch_GearSpecies , Industrial_NomCPUE_GearSpecies ,TE
1950,604,Peru,10804.65449,4631255.419,782269.5379,802608.5545,42170.08684,53.90736159,0,0,1760.51242,,462652.1779,474681.1345,40409.57442,87.34331394,319617.36,327927.42,9279.752436,9521.026102,500.24697,53.90736159,0,0,500.24697,,1
1951,604,Peru,31004.38274,3891910.102,1082007.828,1139003.666,67485.26954,62.37040788,3796.15086,3996.116903,7984.9163,2103.424388,745511.2867,784781.8393,59500.35324,79.81147207,332700.39,350225.71,120250.1009,126584.3946,7500.04784,62.37040788,3565.637007,3753.460502,7500.04784,2103.424388,1
1952,604,Peru,34168.62692,3602232.999,1340873.142,1448204.099,78132.09386,58.26956437,3796.15086,4100.015942,16198.76398,4267.154962,1002742.511,1083007.613,61933.32988,61.76394159,334334.48,361096.47,271154.4347,292859.1464,15800.05079,58.26956437,3702.71315,3999.098956,15800.05079,4267.154962,0.63
1953,604,Peru,58414.26669,3530843.011,1807273.995,2002688.698,90766.63391,50.22295134,7592.29995,8413.230752,37826.45457,4982.212876,1412574.845,1565311.988,52940.17934,37.47778713,387106.85,428963.48,742689.362,822993.9654,37300.05169,50.22295134,7486.643509,8296.150022,37300.05169,4982.212876,0.505
1954,604,Peru,69097.50689,3425796.026,1972112.66,2242170.04,110354.2184,55.95736017,15184.60167,17263.95152,43591.99261,2870.802511,1554257.409,1767094.398,66762.22583,42.9544202,402670.65,457811.69,772017.3289,877735.9222,43200.05173,55.95736017,15048.07508,17108.72924,43200.05173,2870.802511,0.6
1955,604,Peru,101408.9448,3596099.747,2118600.821,2471344.561,141558.8842,66.81715721,18980.7543,22141.0204,59240.29895,3121.071903,1680497.267,1960297.451,82318.5852,48.98465878,419122.8,488906.09,881510.8816,1028281.072,58900.05116,66.81715721,18871.73797,22013.85303,58900.05116,3121.071903,0.61
1956,604,Peru,178888.2881,3490524.702,2658457.533,3181714.677,217615.3027,81.85773142,22776.9087,27260.02855,119974.7619,5267.385645,2178733.864,2607568.398,97640.54077,44.81526743,456946.76,546886.25,1461072.157,1748651.114,119600.0522,81.85773142,22705.771,27174.889,119600.0522,5267.385645,0.58
1957,604,Peru,415771.2948,3528781.857,3175620.196,3899486.711,409283.9776,128.8831637,26573.0454,32630.23607,326803.5827,12298.31123,2568325.051,3153761.695,82480.3949,32.11446887,580722.1,713094.78,2531750.808,3108850.562,326300.0539,128.8831637,26532.10248,32579.96041,326300.0539,12298.31123,0.435
1958,604,Peru,936416.212,3467566.469,3628921.238,4571974.541,844882.6705,232.8192361,51283.8398,64611.04747,739740.3018,14424.43282,2895396.438,3647827.414,105142.3686,36.31363473,682240.96,859536.08,3175425.135,4000627.713,739300.0542,232.8192361,51253.31883,64572.59497,739300.0542,14424.43282,0.47
1959,604,Peru,2394742.704,4171435.879,3981346.087,5146400.134,2049161.041,514.6905083,55079.9942,71197.95072,1947511.626,35357.87639,3180925.813,4111754.233,101649.4149,31.95592127,745340.28,963447.95,3783244.54,4890328.492,1947200.055,514.6905083,55071.18227,71186.56017,1947200.055,35357.87639,0.615
1960,604,Peru,4065305.055,4093386.892,4521892.069,5997098.19,3427412.698,757.9598641,87383.0997,115890.6543,3427412.698,39222.83267,3581601.019,4750049.916,0,0,852907.95,1131157.62,4371471.647,5797605.141,3313400.055,757.9598641,84476.30704,112035.5598,3313400.055,39222.83267,1
