"","year","variable","value"
"1",1963,"anchovetta_biomass",0.781420765027322
"2",1964,"anchovetta_biomass",0.617486338797814
"3",1965,"anchovetta_biomass",0.737704918032787
"4",1966,"anchovetta_biomass",0.765027322404372
"5",1967,"anchovetta_biomass",0.748633879781421
"6",1968,"anchovetta_biomass",0.73224043715847
"7",1969,"anchovetta_biomass",1
"8",1970,"anchovetta_biomass",0.918032786885246
"9",1971,"anchovetta_biomass",0.841530054644809
"10",1972,"anchovetta_biomass",0.480874316939891
"11",1973,"anchovetta_biomass",0.180327868852459
"12",1974,"anchovetta_biomass",0.201639344262295
"13",1975,"anchovetta_biomass",0.219125683060109
"14",1976,"anchovetta_biomass",0.222950819672131
"15",1977,"anchovetta_biomass",0.16775956284153
"16",1978,"anchovetta_biomass",0.150273224043716
"17",1979,"anchovetta_biomass",0.162295081967213
"18",1980,"anchovetta_biomass",0.187978142076503
"19",1981,"anchovetta_biomass",0.213114754098361
"20",1982,"anchovetta_biomass",0.143715846994536
"21",1983,"anchovetta_biomass",0.218579234972678
"22",1984,"anchovetta_biomass",0.292896174863388
"23",1985,"anchovetta_biomass",0.36775956284153
"24",1986,"anchovetta_biomass",0.168852459016393
"25",1987,"anchovetta_biomass",0.0622950819672131
"26",1988,"anchovetta_biomass",0.354098360655738
"27",1989,"anchovetta_biomass",0.246448087431694
"28",1990,"anchovetta_biomass",0.226229508196721
"29",1991,"anchovetta_biomass",0.339890710382514
"30",1992,"anchovetta_biomass",0.336612021857923
"31",1993,"anchovetta_biomass",0.189071038251366
"32",1994,"anchovetta_biomass",0.514207650273224
"33",1995,"anchovetta_biomass",0.415300546448087
"34",1996,"anchovetta_biomass",0.395628415300546
"35",1997,"anchovetta_biomass",0.568306010928962
"36",1998,"anchovetta_biomass",0.223497267759563
"37",1999,"anchovetta_biomass",0.331693989071038
"38",2000,"anchovetta_biomass",0.557377049180328
"39",2001,"anchovetta_biomass",0.666666666666667
"40",2002,"anchovetta_biomass",0.612021857923497
"41",2003,"anchovetta_biomass",0.52896174863388
"42",2004,"anchovetta_biomass",0.666666666666667
"43",2005,"anchovetta_biomass",0.754098360655738
"44",2006,"anchovetta_biomass",0.473770491803279
"45",2007,"anchovetta_biomass",0.551912568306011
"46",2008,"anchovetta_biomass",0.644808743169399
"47",2009,"anchovetta_biomass",0.481967213114754
"48",2010,"anchovetta_biomass",0.479781420765027
"49",2011,"anchovetta_biomass",0.628415300546448
"50",2012,"anchovetta_biomass",0.562841530054645
"51",2013,"anchovetta_biomass",0.715846994535519
"52",2014,"anchovetta_biomass",0.362841530054645
"53",1963,"cpue_sm_pelagics",0.827823610430357
"54",1964,"cpue_sm_pelagics",0.792873314300811
"55",1965,"cpue_sm_pelagics",1.04866553916936
"56",1966,"cpue_sm_pelagics",0.833917229066788
"57",1967,"cpue_sm_pelagics",1.12362246340175
"58",1968,"cpue_sm_pelagics",1.09978783439386
"59",1969,"cpue_sm_pelagics",1.09573686339806
"60",1970,"cpue_sm_pelagics",0.898707715458823
"61",1971,"cpue_sm_pelagics",1.12422961125532
"62",1972,"cpue_sm_pelagics",0.947188159260351
"63",1973,"cpue_sm_pelagics",0.40628041329384
"64",1974,"cpue_sm_pelagics",0.206968433073222
"65",1975,"cpue_sm_pelagics",0.256037342727061
"66",1976,"cpue_sm_pelagics",0.220386739032041
"67",1977,"cpue_sm_pelagics",0.263875699583682
"68",1978,"cpue_sm_pelagics",0.124643221159648
"69",1979,"cpue_sm_pelagics",0.168511431940042
"70",1980,"cpue_sm_pelagics",0.187119360634721
"71",1981,"cpue_sm_pelagics",0.124928183989342
"72",1982,"cpue_sm_pelagics",0.144882107030965
"73",1983,"cpue_sm_pelagics",0.156383241873477
"74",1984,"cpue_sm_pelagics",0.0849441468524141
"75",1985,"cpue_sm_pelagics",0.155789369191314
"76",1986,"cpue_sm_pelagics",0.193237121763035
"77",1987,"cpue_sm_pelagics",0.235038634371816
"78",1988,"cpue_sm_pelagics",0.109302205635033
"79",1989,"cpue_sm_pelagics",0.151423429956165
"80",1990,"cpue_sm_pelagics",0.155663781565097
"81",1991,"cpue_sm_pelagics",0.153624652049645
"82",1992,"cpue_sm_pelagics",0.148190495728615
"83",1993,"cpue_sm_pelagics",0.137055857455909
"84",1994,"cpue_sm_pelagics",0.146782448548597
"85",1995,"cpue_sm_pelagics",0.177365226524742
"86",1996,"cpue_sm_pelagics",0.196023598481332
"87",1997,"cpue_sm_pelagics",0.167302221691254
"88",1998,"cpue_sm_pelagics",0.123915628821526
"89",1999,"cpue_sm_pelagics",0.0630770250379921
"90",2000,"cpue_sm_pelagics",0.122798965662546
"91",2001,"cpue_sm_pelagics",0.141302192633879
"92",2002,"cpue_sm_pelagics",0.0921271713072413
"93",2003,"cpue_sm_pelagics",0.100759654522248
"94",2004,"cpue_sm_pelagics",0.0634698315401656
"95",2005,"cpue_sm_pelagics",0.094029712698588
"96",2006,"cpue_sm_pelagics",0.0924554980577565
"97",2007,"cpue_sm_pelagics",0.0596359455381831
"98",2008,"cpue_sm_pelagics",0.0592590072483731
"99",2009,"cpue_sm_pelagics",0.0581258581830609
"100",2010,"cpue_sm_pelagics",0.0525468896644459
"101",2011,"cpue_sm_pelagics",0.0265976533097374
"102",2012,"cpue_sm_pelagics",0.0445616166280098
"103",2013,"cpue_sm_pelagics",0.0207056168285228
"104",2014,"cpue_sm_pelagics",0.0237822318361295
"105",1963,"vrs_sm_pelagic",0.574467211026393
"106",1964,"vrs_sm_pelagic",0.544349159272082
"107",1965,"vrs_sm_pelagic",0.728119941224416
"108",1966,"vrs_sm_pelagic",0.59447591069928
"109",1967,"vrs_sm_pelagic",0.700013243373997
"110",1968,"vrs_sm_pelagic",0.806509038202167
"111",1969,"vrs_sm_pelagic",0.841841066132467
"112",1970,"vrs_sm_pelagic",0.735197815588381
"113",1971,"vrs_sm_pelagic",1
"114",1972,"vrs_sm_pelagic",0.840744997132035
"115",1973,"vrs_sm_pelagic",0.368154250243877
"116",1974,"vrs_sm_pelagic",0.139110615659447
"117",1975,"vrs_sm_pelagic",0.303901503945993
"118",1976,"vrs_sm_pelagic",0.261532298146935
"119",1977,"vrs_sm_pelagic",0.337764347245757
"120",1978,"vrs_sm_pelagic",0.140339219315988
"121",1979,"vrs_sm_pelagic",0.207226046310943
"122",1980,"vrs_sm_pelagic",0.262799852570346
"123",1981,"vrs_sm_pelagic",0.188929421589881
"124",1982,"vrs_sm_pelagic",0.212425925943926
"125",1983,"vrs_sm_pelagic",0.321625248853556
"126",1984,"vrs_sm_pelagic",0.127808348624463
"127",1985,"vrs_sm_pelagic",0.282279886875126
"128",1986,"vrs_sm_pelagic",0.326547237072572
